Symbol,Name,Market cap (₹),Market cap,Price,Change %,Valume,Rel Volume,P/E,"EPS dil
TTM","EPS dil growth
TTM YoY","Div yield %
TTM",Analyst Rating
RELIANCE,RELIANCE INDUSTRIES LTD,"1,62,30,00,00,00,000",16.23 T,"1,200.10",-0.58%,23.01 M,2.71,23.47,51.13,-1.11%,0.42%,Buy
HDFCBANK,HDFC BANK LTD,"1,32,40,00,00,00,000",13.24 T,"1,732.40",1.86%,27.26 M,2.78,19.04,91,1.95%,1.13%,Strong buy
TCS,TATA CONSULTANCY SERV LTD,"1,26,10,00,00,00,000",12.61 T,"3,483.25",-3.58%,7.09 M,2.58,25.84,134.78,9.86%,1.66%,Buy
BHARTIARTL,BHARTI AIRTEL LTD,"89,40,00,00,00,000",8.94 T,"1,570.20",-4.86%,13.64 M,2.27,38.79,40.47,188.37%,0.51%,Strong buy
ICICIBANK,ICICI BANK LTD.,"85,00,00,00,00,000",8.5 T,"1,204.10",-1.50%,20.22 M,2.11,17.93,67.14,12.86%,0.83%,Strong buy
INFY,INFOSYS LTD,"70,10,00,00,00,000",7.01 T,"1,687.70",-4.34%,12.18 M,2.54,25.32,66.65,13.25%,2.43%,Buy
SBIN,STATE BANK OF INDIA,"61,40,00,00,00,000",6.14 T,688.8,-2.15%,15.78 M,1.78,7.75,88.91,24.38%,1.99%,Buy
BAJFINANCE,BAJAJ FINANCE LTD,"53,00,00,00,00,000",5.3 T,"8,530.30",-2.01%,1.75 M,1.76,33.09,257.78,13.93%,0.42%,Buy
HINDUNILVR,HINDUSTAN UNILEVER LTD.,"51,50,00,00,00,000",5.15 T,"2,190.25",-2.44%,3.68 M,2.34,47.9,45.72,4.11%,1.96%,Buy
ITC,ITC LTD,"49,40,00,00,00,000",4.94 T,395,-1.64%,31.95 M,2.56,24.53,16.1,-1.99%,3.55%,Buy
LICI,LIFE INSURA CORP OF INDIA,"46,80,00,00,00,000",4.68 T,740.5,-0.08%,1.66 M,1.57,10.88,68.08,6.79%,1.35%,Buy
LT,LARSEN & TOUBRO LTD.,"43,50,00,00,00,000",4.35 T,"3,163.85",-1.42%,2.49 M,1.3,31.24,101.29,-3.39%,0.88%,Strong buy
HCLTECH,HCL TECHNOLOGIES LTD,"42,70,00,00,00,000",4.27 T,"1,575.05",-3.32%,4.91 M,2.61,25.03,62.92,8.71%,3.43%,Neutral
SUNPHARMA,SUN PHARMACEUTICAL IND L,"38,20,00,00,00,000",3.82 T,"1,593.25",-3.29%,3.55 M,1.49,33.43,47.65,28.38%,0.97%,Buy
KOTAKBANK,KOTAK MAHINDRA BANK LTD,"37,80,00,00,00,000",3.78 T,"1,902.95",-2.29%,6.97 M,1.57,16.82,113.13,28.89%,0.11%,Buy
MARUTI,MARUTI SUZUKI INDIA LTD.,"37,60,00,00,00,000",3.76 T,"11,945.85",-3.51%,605.15 K,1.97,25.83,462.51,14.83%,1.05%,Buy
M&M,MAHINDRA & MAHINDRA LTD,"32,10,00,00,00,000",3.21 T,"2,585.10",-5.19%,7.55 M,1.86,23.36,110.64,10.97%,0.82%,Strong buy
AXISBANK,AXIS BANK LTD,"31,50,00,00,00,000",3.15 T,"1,015.55",-0.11%,15.03 M,2.58,11.21,90.59,109.60%,0.10%,Strong buy
NTPC,NTPC LTD,"30,20,00,00,00,000",3.02 T,311.45,-1.35%,21.13 M,1.93,13.74,22.67,12.70%,2.65%,Buy
BAJAJFINSV,BAJAJ FINSERV LTD.,"29,90,00,00,00,000",2.99 T,"1,872.30",-2.77%,1.8 M,0.93,34.99,53.51,10.11%,0.05%,Buy
ULTRACEMCO,ULTRATECH CEMENT LTD,"29,20,00,00,00,000",2.92 T,"10,128.45",-3.06%,1.23 M,3.19,46.78,216.5,-2.62%,0.69%,Buy
WIPRO,WIPRO LTD,"29,00,00,00,00,000",2.9 T,277.65,-5.72%,17.46 M,1.79,23.46,11.84,13.14%,2.16%,Neutral
ONGC,OIL AND NATURAL GAS CORP.,"28,30,00,00,00,000",2.83 T,225.25,-2.49%,17.24 M,2.33,7.28,30.95,-7.16%,5.99%,Buy
TITAN,TITAN COMPANY LTD,"27,30,00,00,00,000",2.73 T,"3,077.25",-4.53%,1.32 M,2.25,84.37,36.47,-6.17%,0.36%,Buy
ADANIENT,ADANI ENTERPRISES LTD,"24,20,00,00,00,000",2.42 T,"2,096.00",-0.71%,2.37 M,1.67,64.51,32.49,5.45%,0.06%,Strong buy
JSWSTEEL,JSW STEEL LTD,"23,30,00,00,00,000",2.33 T,950.7,-2.49%,2.55 M,1.51,70.47,13.49,-70.70%,0.77%,Buy
POWERGRID,POWER GRID CORP. LTD.,"23,30,00,00,00,000",2.33 T,250.85,-2.11%,38.51 M,2.9,15.01,16.71,-1.16%,4.19%,Buy
ADANIPORTS,ADANI PORT & SEZ LTD,"23,10,00,00,00,000",2.31 T,"1,069.40",-0.89%,2.85 M,1.11,22.83,46.84,39.94%,0.56%,Strong buy
TATAMOTORS,TATA MOTORS LTD,"22,80,00,00,00,000",2.28 T,620.65,-4.30%,20.48 M,2.02,7.44,83.44,65.85%,0.48%,Buy
COALINDIA,COAL INDIA LTD,"22,70,00,00,00,000",2.27 T,369.35,1.51%,21.9 M,4.73,6.61,55.88,17.24%,7.14%,Buy
