Company Name,sy,Extension,Symbol
360 ONE WAM Ltd.,360ONE,.NS,360ONE.NS
3M India Ltd.,3MINDIA,.NS,3MINDIA.NS
ABB India Ltd.,ABB,.NS,ABB.NS
ACC Ltd.,ACC,.NS,ACC.NS
AIA Engineering Ltd.,AIAENG,.NS,AIAENG.NS
APL Apollo Tubes Ltd.,APLAPOLLO,.NS,APLAPOLLO.NS
AU Small Finance Bank Ltd.,AUBANK,.NS,AUBANK.NS
Aadhar Housing Finance Ltd.,AADHARHFC,.NS,AADHARHFC.NS
Aarti Industries Ltd.,AARTIIND,.NS,AARTIIND.NS
Aavas Financiers Ltd.,AAVAS,.NS,AAVAS.NS
Abbott India Ltd.,ABBOTINDIA,.NS,ABBOTINDIA.NS
Action Construction Equipment Ltd.,ACE,.NS,ACE.NS
Adani Energy Solutions Ltd.,ADANIENSOL,.NS,ADANIENSOL.NS
Adani Enterprises Ltd.,ADANIENT,.NS,ADANIENT.NS
Adani Green Energy Ltd.,ADANIGREEN,.NS,ADANIGREEN.NS
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS,.NS,ADANIPORTS.NS
Adani Power Ltd.,ADANIPOWER,.NS,ADANIPOWER.NS
Adani Total Gas Ltd.,ATGL,.NS,ATGL.NS
Adani Wilmar Ltd.,AWL,.NS,AWL.NS
Aditya Birla Capital Ltd.,ABCAPITAL,.NS,ABCAPITAL.NS
Aditya Birla Fashion and Retail Ltd.,ABFRL,.NS,ABFRL.NS
Aditya Birla Real Estate Ltd.,ABREL,.NS,ABREL.NS
Aditya Birla Sun Life AMC Ltd.,ABSLAMC,.NS,ABSLAMC.NS
Aegis Logistics Ltd.,AEGISLOG,.NS,AEGISLOG.NS
Affle (India) Ltd.,AFFLE,.NS,AFFLE.NS
Ajanta Pharmaceuticals Ltd.,AJANTPHARM,.NS,AJANTPHARM.NS
Akums Drugs and Pharmaceuticals Ltd.,AKUMS,.NS,AKUMS.NS
Alembic Pharmaceuticals Ltd.,APLLTD,.NS,APLLTD.NS
Alkem Laboratories Ltd.,ALKEM,.NS,ALKEM.NS
Alkyl Amines Chemicals Ltd.,ALKYLAMINE,.NS,ALKYLAMINE.NS
Alok Industries Ltd.,ALOKINDS,.NS,ALOKINDS.NS
Amara Raja Energy & Mobility Ltd.,ARE&M,.NS,ARE&M.NS
Amber Enterprises India Ltd.,AMBER,.NS,AMBER.NS
Ambuja Cements Ltd.,AMBUJACEM,.NS,AMBUJACEM.NS
Anand Rathi Wealth Ltd.,ANANDRATHI,.NS,ANANDRATHI.NS
Anant Raj Ltd.,ANANTRAJ,.NS,ANANTRAJ.NS
Angel One Ltd.,ANGELONE,.NS,ANGELONE.NS
Apar Industries Ltd.,APARINDS,.NS,APARINDS.NS
Apollo Hospitals Enterprise Ltd.,APOLLOHOSP,.NS,APOLLOHOSP.NS
Apollo Tyres Ltd.,APOLLOTYRE,.NS,APOLLOTYRE.NS
Aptus Value Housing Finance India Ltd.,APTUS,.NS,APTUS.NS
Archean Chemical Industries Ltd.,ACI,.NS,ACI.NS
Asahi India Glass Ltd.,ASAHIINDIA,.NS,ASAHIINDIA.NS
Ashok Leyland Ltd.,ASHOKLEY,.NS,ASHOKLEY.NS
Asian Paints Ltd.,ASIANPAINT,.NS,ASIANPAINT.NS
Aster DM Healthcare Ltd.,ASTERDM,.NS,ASTERDM.NS
AstraZenca Pharma India Ltd.,ASTRAZEN,.NS,ASTRAZEN.NS
Astral Ltd.,ASTRAL,.NS,ASTRAL.NS
Atul Ltd.,ATUL,.NS,ATUL.NS
Aurobindo Pharma Ltd.,AUROPHARMA,.NS,AUROPHARMA.NS
Avanti Feeds Ltd.,AVANTIFEED,.NS,AVANTIFEED.NS
Avenue Supermarts Ltd.,DMART,.NS,DMART.NS
Axis Bank Ltd.,AXISBANK,.NS,AXISBANK.NS
BASF India Ltd.,BASF,.NS,BASF.NS
BEML Ltd.,BEML,.NS,BEML.NS
BLS International Services Ltd.,BLS,.NS,BLS.NS
BSE Ltd.,BSE,.NS,BSE.NS
Bajaj Auto Ltd.,BAJAJ-AUTO,.NS,BAJAJ-AUTO.NS
Bajaj Finance Ltd.,BAJFINANCE,.NS,BAJFINANCE.NS
Bajaj Finserv Ltd.,BAJAJFINSV,.NS,BAJAJFINSV.NS
